요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
베스트의원,의원,전남,360300,목포시,"전라남도 목포시 양을로 145, 2,3층 (산정동)",126.3862765,34.8095471
베스트치과의원,치과의원,전남,360700,광양시,"전라남도 광양시 광양읍 용강로 23, 3층",127.6084512,34.9719285
베스트피부과의원,의원,전남,360500,여수시,"전라남도 여수시 여서1로 54, (여서동)",127.7037648,34.7522261
별량보건지소,보건지소,전남,360400,순천시,"전라남도 순천시 별량면 별량장길 25, 25",127.4518358,34.8743684
별량치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 별량면 별량길 80, 1층",127.4522024,34.8733789
병영의원,의원,전남,360001,강진군,"전라남도 강진군 병영면 하멜로 412, (병영면)",126.8151085,34.7159211
병영한국의원,의원,전남,360001,강진군,"전라남도 강진군 병영면 병영성로 116, (병영면)",126.8161869,34.7149605
보궁요양병원,요양병원,전남,360022,화순군,"전라남도 화순군 화순읍 서양로 372, (화순읍)",126.9996846,35.0647712
보명당한의원,한의원,전남,360700,광양시,"전라남도 광양시 중마로 174, 2층 (중동)",127.6893616,34.9401922
보배치과의원,치과의원,전남,360003,곡성군,"전라남도 곡성군 곡성읍 중앙로 102, (곡성읍)",127.2940237,35.2804561
보성군립요양병원,요양병원,전남,360010,보성군,"전라남도 보성군 벌교읍 남하로 4-10, (벌교읍)",127.3450468,34.8335983
보성군보건소,보건소,전남,360010,보성군,"전라남도 보성군 보성읍 송재로 153, 153",127.0790418,34.7702225
보성밝은안과의원,의원,전남,360010,보성군,"전라남도 보성군 보성읍 현충로 68, 2층",127.0792552,34.7665743
보성요양병원,요양병원,전남,360010,보성군,"전라남도 보성군 벌교읍 녹색로 4816-15, (벌교읍)",127.2727134,34.8338818
보성원광한의원,한의원,전남,360010,보성군,"전라남도 보성군 보성읍 현충로 84, (보성읍)",127.0810787,34.7670963
보성치과의원,치과의원,전남,360010,보성군,"전라남도 보성군 보성읍 현충로 73, (보성읍)",127.0798937,34.7670692
보성한의원,한의원,전남,360010,보성군,"전라남도 보성군 보성읍 현충로 80, (보성읍)",127.0805671,34.766939
보스턴치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 쌍봉로 58, 2층 (학동)",127.662255,34.7662173
보스톤연합치과의원,치과의원,전남,360300,목포시,"전라남도 목포시 하당로 264, 3층 (옥암동)",126.4249021,34.810362
보은병원,정신병원,전남,360022,화순군,"전라남도 화순군 도곡면 고인돌1로 282-14, (도곡면)",126.9229568,34.994261
보일치과의원,치과의원,전남,360010,보성군,"전라남도 보성군 보성읍 현충로 92-20, 2층",127.082638,34.767476
복내보건지소,보건지소,전남,360010,보성군,"전라남도 보성군 복내면 개기로 1666-32, (복내면)",127.1303776,34.8932212
복산보건진료소,보건진료소,전남,360500,여수시,"전라남도 여수시 소라면 달천길 135, (소라면)",127.5760268,34.7674612
복음내과의원,의원,전남,360014,영광군,"전라남도 영광군 영광읍 옥당로 155, (영광읍)",126.5007935,35.2758302
복음안과의원,의원,전남,360500,여수시,"전라남도 여수시 중앙로 9-1, (서교동)",127.7287682,34.7406351
복음외과의원,의원,전남,360008,담양군,"전라남도 담양군 담양읍 지침3길 7-27, (담양읍)",126.9836595,35.316287
복음의원,의원,전남,360021,해남군,"전라남도 해남군 황산면 시등로 96, (황산면)",126.4337125,34.576125
복천보건진료소,보건진료소,전남,360020,함평군,"전라남도 함평군 학교면 고막천로 803, (학교면)",126.5824085,35.0437359
본정형외과의원,의원,전남,360300,목포시,"전라남도 목포시 옥암로 187, 1,2층 (석현동)",126.4213109,34.8147091
본치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 둑실1길 7, 1-2층 (조곡동)",127.4918313,34.9561814
봄날의원,의원,전남,360014,영광군,"전라남도 영광군 영광읍 신남로 187-2, 2층",126.5025484,35.276202
봄봄한의원,한의원,전남,360009,무안군,"전라남도 무안군 삼향읍 남악로 267, 2층 214호 (펠리시티5차 리버뷰)",126.46664,34.806146
봄치과의원,치과의원,전남,360018,장흥군,"전라남도 장흥군 장흥읍 동교1길 22, 봄치과의원 102호",126.9080735,34.6770273
봉강보건지소,보건지소,전남,360700,광양시,"전라남도 광양시 봉강면 비봉길 1, (봉강면)",127.5805621,35.0115314
봉동보건진료소,보건진료소,전남,360003,곡성군,"전라남도 곡성군 오산면 오산로 605-1, (오산면)",127.1210078,35.2373458
봉두보건진료소,보건진료소,전남,360500,여수시,"전라남도 여수시 소라면 당촌길 57-1, 57",127.6002883,34.7971709
봉래보건지소,보건지소,전남,360002,고흥군,"전라남도 고흥군 봉래면 축정1길 16, (봉래보건지소)",127.4593597,34.4638463
봉명보건진료소,보건진료소,전남,360009,무안군,"전라남도 무안군 몽탄면 봉명양장로 262, 262",126.4809269,34.8921297
봉황가정의학과의원,의원,전남,360200,나주시,"전라남도 나주시 봉황면 봉황로 759, (봉황면)",126.7849204,34.9582964
부부요양병원,요양병원,전남,360300,목포시,"전라남도 목포시 영산로 620-1,  (석현동)",126.4223942,34.8203878
부부치과의원,치과의원,전남,360012,신안군,"전라남도 신안군 암태면 중부로 1827-3, (암태면)",126.1139362,34.8294091
부부치과의원,치과의원,전남,360008,담양군,"전라남도 담양군 담양읍 죽녹원로 51, 2층",126.9849266,35.319545
부부치과의원,치과의원,전남,360019,진도군,"전라남도 진도군 진도읍 남문길 4, (진도읍)",126.2640133,34.478417
부부치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 여서로 156, (여서동)",127.6988673,34.7480578
부부한의원,한의원,전남,360300,목포시,"전라남도 목포시 옥암로 193, 1,2,3,4층 (석현동)",126.4210525,34.815074
부부한의원,한의원,전남,360200,나주시,"전라남도 나주시 중앙로 41, 김수환스튜디오 1층 (중앙동)",126.7186483,35.0331355
부부한의원,한의원,전남,360400,순천시,"전라남도 순천시 신월큰길 7, 2층 (조례동)",127.520347,34.960469
북경한의원,한의원,전남,360008,담양군,"전라남도 담양군 담양읍 중앙로 41, (담양읍)",126.9830357,35.3170005
북부엘치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 중앙로 138-1, (매곡동)",127.4845138,34.95803
북일면보건지소,보건지소,전남,360021,해남군,"전라남도 해남군 북일면 만월길 32-5, 32",126.6718622,34.4629471
북평면보건지소,보건지소,전남,360021,해남군,"전라남도 해남군 북평면 달량진길 10, (북평면 보건지소)",126.6258106,34.4077262
북항에이스비뇨기과의원,의원,전남,360300,목포시,"전라남도 목포시 청호로 176, 3층 (산정동, 쥬빌리메디센터)",126.373557,34.8064335
불갑면보건지소,보건지소,전남,360014,영광군,"전라남도 영광군 불갑면 함영로4길 12, (불갑면)",126.5072339,35.2071904
불갑모악보건진료소,보건진료소,전남,360014,영광군,"전라남도 영광군 불갑면 불갑사로2길 3-2, 3",126.5335188,35.2101342
뷰티라인 의원,의원,전남,360200,나주시,"전라남도 나주시 빛가람로 740, 703,704호 (빛가람동)",126.7927413,35.0208476
브랜드유의원,의원,전남,360500,여수시,"전라남도 여수시 시청로 46, 5층 (학동)",127.6632306,34.7656587
블리비의원,의원,전남,360400,순천시,"전라남도 순천시 이수로 331, 동신빌딩 2층 201호 (조례동)",127.5198806,34.9543979
비금도초한의원,한의원,전남,360012,신안군,"전라남도 신안군 비금면 서남문로 803, 1층",125.9298695,34.751281
비금면보건지소,보건지소,전남,360012,신안군,"전라남도 신안군 비금면 읍동길 29-4, (비금면)",125.9269649,34.7552796
비금면수치도보건진료소,보건진료소,전남,360012,신안군,"전라남도 신안군 비금면 수치도길 233, (비금면)",126.0170493,34.7418443
비봉보건진료소,보건진료소,전남,360010,보성군,"전라남도 보성군 득량면 청암길 41, (득량면)",127.1979368,34.7191885
비오메드요양병원,요양병원,전남,360022,화순군,"전라남도 화순군 도곡면 온천1길 59-0, 비오메드요양병원",126.90213,35.0297286
비촌보건진료소,보건진료소,전남,360400,순천시,"전라남도 순천시 황전면 비촌1길 83, (비촌보건진료소)",127.4285199,35.1742054
빛가람종합병원,종합병원,전남,360200,나주시,"전라남도 나주시 정보화길 49-0, (빛가람동)",126.7987186,35.0242155
사곡보건진료소,보건진료소,전남,360500,여수시,"전라남도 여수시 소라면 상사길 21, 21",127.580042,34.7879278
