요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
비에스치과교정과치과의원,치과의원,부산,210003,부산동래구,"부산광역시 동래구 충렬대로75번길 10, 9층 1, 3~8호 (온천동)",129.0693498,35.2086827
비에이치에스한서병원,종합병원,부산,210014,부산수영구,"부산광역시 수영구 수영로 615, (광안동)",129.1131037,35.16088
비엔에프의원,의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 695, (부전동)",129.0588952,35.1549197
비오비의원,의원,부산,210004,부산진구,"부산광역시 부산진구 서면로 74, 아이온시티빌딩 12층 (부전동)",129.0581339,35.1570677
비젠성형외과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 가야대로784번길 27, 8층 (부전동)",129.0573721,35.1562479
비치안의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 좌동로 88, 3층 (좌동)",129.174951,35.1719523
비타민가정의학과의원,의원,부산,210013,부산연제구,"부산광역시 연제구 연수로 105, 1동 6층 (연산동)",129.0825807,35.175371
비타민내과의원,의원,부산,210001,부산남구,"부산광역시 남구 용호로 152, 대성빌딩 2층 (용호동)",129.1115855,35.1186725
비타민마취통증의학과의원,의원,부산,210002,부산동구,"부산광역시 동구 중앙대로 375, (수정동, 강남빌딩)",129.0485724,35.1291356
비타민피부과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 좌동순환로 173, 8층 (좌동, 영풍프라자)",129.1752749,35.1781714
빌리브세웅병원,병원,부산,210003,부산동래구,"부산광역시 동래구 충렬대로 455, (안락동)",129.1082196,35.1960144
빛으로의원,의원,부산,210008,부산중구,"부산광역시 중구 자갈치로37번길 4, (남포동5가)",129.0286153,35.0971667
빛하늘의원,의원,부산,210005,부산북구,"부산광역시 북구 효열로203번길 6, 103호, 201호 (금곡동, 대성하이츠빌)",129.0182068,35.2628182
뿌리깊은 이정근치과의원,치과의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 471, 오션스카이 남천 201호 (남천동)",129.1102005,35.1481771
뿌리샘치과의원,치과의원,부산,210008,부산중구,"부산광역시 중구 광복로55번길 9, 2층 (창선동1가)",129.0303892,35.0997042
뿌리한의원,한의원,부산,210014,부산수영구,"부산광역시 수영구 수영로 386-1, 원탄크리닉 7층 (남천동)",129.1071528,35.1409233
쁨글로벌의원,의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 691, 금강제화 부전동지점 1층일부, 2~4층 (부전동)",129.0588094,35.1546048
삐뚤한이바르게치과교정과치과의원,치과의원,부산,210001,부산남구,"부산광역시 남구 용소로 4, 8층 (대연동)",129.100025,35.1367727
사)대한산업보건협회 부산의원,의원,부산,210011,부산금정구,"부산광역시 금정구 중앙대로 2139, 2층 (청룡동, 동아빌딩)",129.0922884,35.2753477
사과나무치과병원,치과병원,부산,210005,부산북구,"부산광역시 북구 금곡대로303번길 2-2, 5층 (화명동, 시티타워)",129.0134842,35.2356469
사과나무치과의원,치과의원,부산,210009,부산해운대구,"부산광역시 해운대구 신반송로 171, 상가동 202호 (반송동, 삼한그린타운1차)",129.1607171,35.2276246
사단법인 부산의료선교회 세계로병원,병원,부산,210003,부산동래구,"부산광역시 동래구 종합운동장로 42, (사직동)",129.0647391,35.1944931
사단법인 온누리를 빛낼 사람들의 비젼센터 온누리치과의원,치과의원,부산,210010,부산사하구,"부산광역시 사하구 윤공단로 144, 1층 (다대동)",128.9741898,35.0609212
